source,headline,description,url,reliability
TOI,India's GDP grows at 7.2% in Q3 2024,India's economy expanded by 7.2% in the third quarter of 2024 driven by strong manufacturing and services sector growth,https://timesofindia.com/article1,0.9
TOI,PM Modi launches new infrastructure initiative worth Rs 10 lakh crore,Prime Minister Narendra Modi inaugurated a major infrastructure push targeting roads highways and railways across rural India,https://timesofindia.com/article2,0.9
TOI,RBI keeps repo rate unchanged at 6.5% in latest monetary policy review,The Reserve Bank of India maintained the benchmark repo rate at 6.5% citing inflation control and economic stability,https://timesofindia.com/article3,0.9
TOI,India beats Pakistan in ICC Champions Trophy final by 6 wickets,Team India secured a dominant victory over Pakistan in the ICC Champions Trophy final held in Dubai,https://timesofindia.com/article4,0.9
TOI,ISRO successfully launches PSLV-C58 mission with Earth observation satellite,Indian Space Research Organisation achieved another milestone by successfully launching PSLV-C58 carrying a new Earth observation satellite,https://timesofindia.com/article5,0.9
TOI,Supreme Court upholds validity of new citizenship amendment rules,The Supreme Court of India in a landmark judgment upheld the constitutional validity of the Citizenship Amendment Act rules,https://timesofindia.com/article6,0.9
TOI,Delhi records worst air quality of the year AQI crosses 450,New Delhi's air quality plunged to severe levels with the Air Quality Index crossing 450 amid vehicular and industrial pollution,https://timesofindia.com/article7,0.9
TOI,India launches UPI payment system in 10 new countries,India's Unified Payments Interface has been expanded to 10 new countries enabling seamless cross-border digital transactions,https://timesofindia.com/article8,0.9
TOI,Mumbai local train services disrupted due to heavy monsoon rains,Heavy rainfall lashed Mumbai causing waterlogging on tracks and disruption of local train services across the city,https://timesofindia.com/article9,0.9
TOI,Government announces free electricity up to 300 units under PM Surya Ghar scheme,The central government rolled out the PM Surya Ghar Muft Bijli Yojana offering free electricity of up to 300 units per month,https://timesofindia.com/article10,0.9
TOI,India becomes world's third largest economy surpassing Japan,India has overtaken Japan to become the world's third largest economy according to IMF projections for 2025,https://timesofindia.com/article11,0.9
TOI,New education policy NEP 2020 fully implemented across all states,The National Education Policy 2020 has been fully implemented across all Indian states with focus on regional languages and skill development,https://timesofindia.com/article12,0.9
TOI,Chandrayaan-4 mission to be launched in 2026 says ISRO chief,ISRO chief announced that Chandrayaan-4 mission targeting lunar sample return will be launched in 2026,https://timesofindia.com/article13,0.9
TOI,India signs free trade agreement with European Union,India and the European Union signed a comprehensive free trade agreement after years of negotiations covering goods services and investments,https://timesofindia.com/article14,0.9
TOI,Earthquake of magnitude 5.8 hits Uttarakhand no casualties reported,A moderate earthquake measuring 5.8 on the Richter scale struck Uttarakhand in the early morning hours with no major casualties,https://timesofindia.com/article15,0.9
TOI,India wins 30 medals at Asian Games 2026 beats previous record,India achieved its best ever performance at the Asian Games 2026 with 30 medals including 10 gold,https://timesofindia.com/article16,0.9
TOI,Petrol diesel prices cut by Rs 5 per litre from today,The central government announced a Rs 5 per litre reduction in petrol and diesel prices effective from midnight,https://timesofindia.com/article17,0.9
TOI,CBSE board exam results 2025 declared class 10 pass percentage at 93%,The Central Board of Secondary Education declared Class 10 results with an overall pass percentage of 93%,https://timesofindia.com/article18,0.9
TOI,WHO declares India polio-free for 15 consecutive years,The World Health Organization certified India as polio-free for 15 consecutive years recognizing the country's vaccination efforts,https://timesofindia.com/article19,0.9
TOI,Aadhaar linked to 1.4 billion citizens government claims full saturation,The government announced that Aadhaar biometric identification has been successfully linked with 1.4 billion citizens achieving full saturation,https://timesofindia.com/article20,0.9
HT,Rahul Gandhi addresses mega rally in Varanasi ahead of state elections,Congress leader Rahul Gandhi held a massive election rally in Varanasi promising farm loan waivers and free healthcare,https://hindustantimes.com/article1,0.85
HT,Punjab farmers protest against agricultural land acquisition ordinance,Thousands of farmers in Punjab took to streets opposing a state government ordinance allowing industrial acquisition of agricultural land,https://hindustantimes.com/article2,0.85
HT,Bengaluru tech hub sees record startup funding of 12 billion dollars in 2024,Bengaluru's startup ecosystem attracted a record 12 billion dollars in venture capital funding in 2024 leading all Indian cities,https://hindustantimes.com/article3,0.85
HT,India's inflation falls to 4.1% lowest in 18 months,Consumer price inflation in India dropped to 4.1% in December 2024 the lowest reading in 18 months giving RBI room to cut rates,https://hindustantimes.com/article4,0.85
HT,Vijay Deverakonda starrer Arjun Reddy sequel confirmed for 2025 release,Telugu superstar Vijay Deverakonda confirmed that the sequel to Arjun Reddy is in production and will release in 2025,https://hindustantimes.com/article5,0.85
HT,Heavy snowfall in Himachal Pradesh 300 roads blocked,Incessant heavy snowfall in Himachal Pradesh blocked over 300 roads cutting off dozens of villages from the rest of the state,https://hindustantimes.com/article6,0.85
HT,IIT Delhi develops affordable water purifier that removes 99.9% pathogens,Researchers at IIT Delhi have developed a low-cost water purification device that eliminates 99.9% of harmful pathogens using nano-technology,https://hindustantimes.com/article7,0.85
HT,India's forex reserves touch all-time high of 720 billion dollars,India's foreign exchange reserves hit an all-time high of 720 billion dollars providing a robust buffer against global economic shocks,https://hindustantimes.com/article8,0.85
HT,Government launches Ayushman Bharat health card for senior citizens above 70,The central government extended the Ayushman Bharat PM-JAY health insurance scheme to all senior citizens above 70 years,https://hindustantimes.com/article9,0.85
HT,India's renewable energy capacity crosses 200 GW milestone,India reached a landmark 200 GW of installed renewable energy capacity powered by rapid growth in solar and wind energy projects,https://hindustantimes.com/article10,0.85
HT,Kejriwal announces Rs 2100 monthly allowance for Delhi women,Delhi Chief Minister Arvind Kejriwal announced a monthly financial assistance of Rs 2100 for all women registered as voters in Delhi,https://hindustantimes.com/article11,0.85
HT,Heavy rains trigger landslides in Wayanad 18 dead dozens missing,Massive landslides triggered by torrential rains in Kerala's Wayanad district killed at least 18 people with dozens still missing,https://hindustantimes.com/article12,0.85
HT,Adani Group signs MoU for Rs 50000 crore investment in Rajasthan,Adani Group signed a memorandum of understanding with the Rajasthan government for Rs 50000 crore investment in green energy and infrastructure,https://hindustantimes.com/article13,0.85
HT,Centre hikes DA for central government employees by 4%,The Union Cabinet approved a 4% hike in Dearness Allowance for central government employees and pensioners effective from January 2025,https://hindustantimes.com/article14,0.85
HT,India's exports grow 12% in November crossing 40 billion dollars,India's merchandise exports grew 12% year-on-year in November 2024 crossing the 40 billion dollar mark driven by electronics and pharma,https://hindustantimes.com/article15,0.85
HT,Delhi Metro Phase 4 extension inaugurated connecting 27 new stations,Delhi Metro Rail Corporation inaugurated the Phase 4 extension adding 27 new stations across three corridors,https://hindustantimes.com/article16,0.85
HT,India ratifies global plastic treaty pledging to cut single-use plastic by 2030,India formally ratified the global plastic pollution treaty committing to a 50% cut in single-use plastic by 2030,https://hindustantimes.com/article17,0.85
HT,Tata Motors launches first all-electric truck for commercial use in India,Tata Motors launched India's first commercially viable all-electric heavy-duty truck targeting logistics and transportation companies,https://hindustantimes.com/article18,0.85
HT,NEET UG results: 24 students score perfect 720 out of 720,National Eligibility cum Entrance Test undergraduate results revealed 24 students achieved a perfect score of 720 out of 720 marks,https://hindustantimes.com/article19,0.85
HT,Virat Kohli announces retirement from T20 internationals after World Cup win,Veteran Indian cricketer Virat Kohli announced his retirement from T20 international cricket following India's World Cup victory,https://hindustantimes.com/article20,0.85
Tribune,Punjab government to give 3 marla plots free to landless families,The Punjab government announced a scheme to provide free 3 marla residential plots to all landless and homeless families in the state,https://tribuneindia.com/article1,0.8
Tribune,Haryana farmers get Rs 2000 per acre bonus for wheat crop procurement,The Haryana government announced a Rs 2000 per acre bonus for farmers selling wheat to government procurement agencies,https://tribuneindia.com/article2,0.8
Tribune,Amritsar airport to get international terminal expansion worth Rs 300 crore,The Amritsar Sri Guru Ram Dass Jee International Airport is set to get a major expansion of its international terminal at a cost of Rs 300 crore,https://tribuneindia.com/article3,0.8
Tribune,Himachal Pradesh tourism sees 40% jump in foreign visitors in 2024,Himachal Pradesh witnessed a 40% surge in foreign tourist arrivals in 2024 with Manali Shimla and Spiti being top destinations,https://tribuneindia.com/article4,0.8
Tribune,Chandigarh UT launches free wi-fi at all public spaces and parks,The Chandigarh UT administration launched free high-speed wi-fi connectivity at all public parks markets and government offices,https://tribuneindia.com/article5,0.8
Tribune,J&K government announces regularisation of daily wage workers after 10 years,The Jammu and Kashmir administration announced the regularisation of all daily wage government workers who have completed 10 years of service,https://tribuneindia.com/article6,0.8
Tribune,Punjab to open 1000 Aam Aadmi Clinics in rural areas,The Punjab government announced the establishment of 1000 Aam Aadmi Clinics in rural and semi-urban areas to provide free healthcare,https://tribuneindia.com/article7,0.8
Tribune,Ropar wetland declared Ramsar site international recognition for Punjab,The Ropar wetland in Punjab has been officially declared a Ramsar site by the international body recognizing its ecological significance,https://tribuneindia.com/article8,0.8
Tribune,Ludhiana Smart City project upgrade traffic lights with AI sensors,Ludhiana Smart City Mission upgraded 200 traffic signal junctions with AI-enabled adaptive sensors to reduce congestion,https://tribuneindia.com/article9,0.8
Tribune,SGPC approves Rs 500 crore development plan for Golden Temple complex,The Shiromani Gurdwara Parbandhak Committee approved a Rs 500 crore master plan for development and heritage conservation around the Golden Temple,https://tribuneindia.com/article10,0.8
Tribune,Haryana police arrest fake call centre running cyber fraud spanning 12 states,Haryana police busted a massive fake call centre operating cyber fraud targeting victims across 12 states with losses of over Rs 80 crore,https://tribuneindia.com/article11,0.8
Tribune,Punjab schools to introduce coding classes from class 6 onwards,The Punjab School Education Board announced mandatory coding and digital literacy classes from class 6 in all government schools,https://tribuneindia.com/article12,0.8
Tribune,HP government cancels 12 hydropower projects citing environment concerns,The Himachal Pradesh government cancelled 12 proposed hydropower projects in ecologically sensitive zones following environmental impact assessments,https://tribuneindia.com/article13,0.8
Tribune,Srinagar gets its first underground metro rail feasibility report approved,The feasibility report for Srinagar's first underground metro rail project has been approved by the central government paving way for construction,https://tribuneindia.com/article14,0.8
Tribune,Batch of 5000 Agniveer recruits completes training in Punjab regiment centre,The first batch of 5000 Agniveer recruits completed their four-year training at the Punjab Regiment Centre in Ramgarh,https://tribuneindia.com/article15,0.8
Tribune,Mohali emerges as India's second largest IT hub after Bengaluru,Greater Mohali in Punjab has emerged as India's second largest information technology hub with over 1500 registered IT companies,https://tribuneindia.com/article16,0.8
Tribune,Haryana government bans old petrol diesel vehicles older than 15 years in NCR,The Haryana government imposed a complete ban on all petrol and diesel vehicles older than 15 years in National Capital Region districts,https://tribuneindia.com/article17,0.8
Tribune,Ranjit Sagar Dam water level at 10-year high after good monsoon,The Ranjit Sagar Dam reservoir has reached a 10-year high water level following exceptionally good monsoon rains in the Himalayan catchment area,https://tribuneindia.com/article18,0.8
Tribune,Punjab PSEB 10th results 2025 girls outperform boys with 97.3% pass rate,Punjab School Education Board declared Class 10 results with girls achieving a remarkable 97.3% pass rate outperforming boys,https://tribuneindia.com/article19,0.8
Tribune,Uttarakhand announces strict rules for homestays in ecotourism zones,The Uttarakhand government announced strict licensing norms for homestays and guesthouses operating in designated ecotourism zones,https://tribuneindia.com/article20,0.8
